date,Fed_monthly
2016-06-01 00:00:00,0
2016-06-02 00:00:00,-8.823529412
2016-06-03 00:00:00,-29.03225806
2016-06-04 00:00:00,-11.36363636
2016-06-05 00:00:00,84.61538462
2016-06-06 00:00:00,-8.333333333
2016-06-07 00:00:00,-6.060606061
2016-06-08 00:00:00,-4.838709677
2016-06-09 00:00:00,3.389830508
2016-06-10 00:00:00,-29.50819672
2016-06-11 00:00:00,-9.302325581
2016-06-12 00:00:00,51.28205128
2016-06-13 00:00:00,22.03389831
2016-06-14 00:00:00,38.88888889
2016-06-15 00:00:00,-28
2016-06-16 00:00:00,-16.66666667
2016-06-17 00:00:00,-30
2016-06-18 00:00:00,-11.9047619
2016-06-19 00:00:00,51.35135135
2016-06-20 00:00:00,16.07142857
2016-06-21 00:00:00,-7.692307692
2016-06-22 00:00:00,3.333333333
2016-06-23 00:00:00,-6.451612903
2016-06-24 00:00:00,-25.86206897
2016-06-25 00:00:00,-13.95348837
2016-06-26 00:00:00,56.75675676
2016-06-27 00:00:00,-1.724137931
2016-06-28 00:00:00,10.52631579
2016-06-29 00:00:00,-7.936507937
2016-06-30 00:00:00,-31.81818182
2016-07-01 00:00:00,-31.81818182
2016-07-02 00:00:00,-8.888888889
2016-07-03 00:00:00,0
2016-07-04 00:00:00,68.29268293
2016-07-05 00:00:00,4.347826087
2016-07-06 00:00:00,1.388888889
2016-07-07 00:00:00,-9.589041096
2016-07-08 00:00:00,-31.81818182
2016-07-09 00:00:00,-17.77777778
2016-07-10 00:00:00,83.78378378
2016-07-11 00:00:00,-2.941176471
2016-07-12 00:00:00,-1.515151515
2016-07-13 00:00:00,-9.230769231
2016-07-14 00:00:00,6.779661017
2016-07-15 00:00:00,-25.3968254
2016-07-16 00:00:00,-17.0212766
2016-07-17 00:00:00,69.23076923
2016-07-18 00:00:00,-4.545454545
2016-07-19 00:00:00,7.936507937
2016-07-20 00:00:00,-2.941176471
2016-07-21 00:00:00,-4.545454545
2016-07-22 00:00:00,-25.3968254
2016-07-23 00:00:00,-6.382978723
2016-07-24 00:00:00,45.45454545
2016-07-25 00:00:00,18.75
2016-07-26 00:00:00,31.57894737
2016-07-27 00:00:00,-19
2016-07-28 00:00:00,-19.75308642
2016-07-29 00:00:00,-26.15384615
2016-07-30 00:00:00,-12.5
2016-07-31 00:00:00,8.108108108
2016-08-01 00:00:00,8.108108108
2016-08-02 00:00:00,-5
2016-08-03 00:00:00,-7.894736842
2016-08-04 00:00:00,2.857142857
2016-08-05 00:00:00,-33.33333333
2016-08-06 00:00:00,-12.5
2016-08-07 00:00:00,66.66666667
2016-08-08 00:00:00,5.714285714
2016-08-09 00:00:00,-5.405405405
2016-08-10 00:00:00,8.571428571
2016-08-11 00:00:00,-10.52631579
2016-08-12 00:00:00,-29.41176471
2016-08-13 00:00:00,-4.166666667
2016-08-14 00:00:00,65.2173913
2016-08-15 00:00:00,-2.631578947
2016-08-16 00:00:00,35.13513514
2016-08-17 00:00:00,-22
2016-08-18 00:00:00,-2.564102564
2016-08-19 00:00:00,-34.21052632
2016-08-20 00:00:00,-4
2016-08-21 00:00:00,66.66666667
2016-08-22 00:00:00,0
2016-08-23 00:00:00,0
2016-08-24 00:00:00,17.5
2016-08-25 00:00:00,19.14893617
2016-08-26 00:00:00,-42.85714286
2016-08-27 00:00:00,-9.375
2016-08-28 00:00:00,41.37931034
2016-08-29 00:00:00,7.317073171
2016-08-30 00:00:00,-4.545454545
2016-08-31 00:00:00,0
2016-09-01 00:00:00,0
2016-09-02 00:00:00,-31.70731707
2016-09-03 00:00:00,-14.28571429
2016-09-04 00:00:00,25
2016-09-05 00:00:00,40
2016-09-06 00:00:00,2.380952381
2016-09-07 00:00:00,-9.302325581
2016-09-08 00:00:00,12.82051282
2016-09-09 00:00:00,-34.09090909
2016-09-10 00:00:00,-3.448275862
2016-09-11 00:00:00,82.14285714
2016-09-12 00:00:00,-1.960784314
2016-09-13 00:00:00,-10
2016-09-14 00:00:00,2.222222222
2016-09-15 00:00:00,-4.347826087
2016-09-16 00:00:00,-34.09090909
2016-09-17 00:00:00,-10.34482759
2016-09-18 00:00:00,76.92307692
2016-09-19 00:00:00,26.08695652
2016-09-20 00:00:00,72.4137931
2016-09-21 00:00:00,-41
2016-09-22 00:00:00,-23.72881356
2016-09-23 00:00:00,-37.77777778
2016-09-24 00:00:00,14.28571429
2016-09-25 00:00:00,40.625
2016-09-26 00:00:00,0
2016-09-27 00:00:00,2.222222222
2016-09-28 00:00:00,-15.2173913
2016-09-29 00:00:00,0
2016-09-30 00:00:00,-7.692307692
2016-10-01 00:00:00,-7.692307692
2016-10-02 00:00:00,50
2016-10-03 00:00:00,13.88888889
2016-10-04 00:00:00,-9.756097561
2016-10-05 00:00:00,-2.702702703
2016-10-06 00:00:00,2.777777778
2016-10-07 00:00:00,-32.43243243
2016-10-08 00:00:00,-4
2016-10-09 00:00:00,58.33333333
2016-10-10 00:00:00,10.52631579
2016-10-11 00:00:00,9.523809524
2016-10-12 00:00:00,-8.695652174
2016-10-13 00:00:00,-7.142857143
2016-10-14 00:00:00,-38.46153846
2016-10-15 00:00:00,4.166666667
2016-10-16 00:00:00,48
2016-10-17 00:00:00,10.81081081
2016-10-18 00:00:00,-7.317073171
2016-10-19 00:00:00,-2.631578947
2016-10-20 00:00:00,-8.108108108
2016-10-21 00:00:00,-29.41176471
2016-10-22 00:00:00,-4.166666667
2016-10-23 00:00:00,56.52173913
2016-10-24 00:00:00,11.11111111
2016-10-25 00:00:00,-7.5
2016-10-26 00:00:00,2.702702703
2016-10-27 00:00:00,-2.631578947
2016-10-28 00:00:00,-27.02702703
2016-10-29 00:00:00,-11.11111111
2016-10-30 00:00:00,50
2016-10-31 00:00:00,33.33333333
2016-11-01 00:00:00,33.33333333
2016-11-02 00:00:00,-13.88888889
2016-11-03 00:00:00,-12.90322581
2016-11-04 00:00:00,-33.33333333
2016-11-05 00:00:00,0
2016-11-06 00:00:00,66.66666667
2016-11-07 00:00:00,-10
2016-11-08 00:00:00,3.703703704
2016-11-09 00:00:00,14.28571429
2016-11-10 00:00:00,-6.25
2016-11-11 00:00:00,50
2016-11-12 00:00:00,66.66666667
2016-11-13 00:00:00,-50.66666667
2016-11-14 00:00:00,-5.405405405
2016-11-15 00:00:00,-11.42857143
2016-11-16 00:00:00,16.12903226
2016-11-17 00:00:00,-16.66666667
2016-11-18 00:00:00,-33.33333333
2016-11-19 00:00:00,-10
2016-11-20 00:00:00,61.11111111
2016-11-21 00:00:00,3.448275862
2016-11-22 00:00:00,-3.333333333
2016-11-23 00:00:00,-37.93103448
2016-11-24 00:00:00,27.77777778
2016-11-25 00:00:00,-26.08695652
2016-11-26 00:00:00,5.882352941
2016-11-27 00:00:00,66.66666667
2016-11-28 00:00:00,6.666666667
